score,signals,permit_number,address,zip,description,valuation,sqft,floors,work_class,permit_class,issue_date,contractor_company,contractor_name,contractor_phone,contractor_city,equipment,permit_link
95,"$20M+ value, 50K+ sqft, 6 floors, New",2025-154152 BP,6915 BRIDGE POINT PKWY BLDG 9,78730,ePlan: Expedited Review - New Construction of a Multi-Story Mixed Use Multi-Family Bldg. with Parking Garage - Lake View East - Module W.,830000000.0,99090.0,6,New,C- 105 Five or More Family Bldgs,2026-06-08,Harvey Cleary Builders,Hunter McBroom,(832) 986-1613,AUSTIN,"Boom Lifts, Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13623496
95,"$20M+ value, 50K+ sqft, 13 floors, New",2025-154146 BP,6915 BRIDGE POINT PKWY BLDG 3,78730,ePlan: Expedited Review - New Construction of a Multi-Story Mixed Use Multi-Family Bldg. with Parking Garage - Lake View East - Module B,830000000.0,57022.0,13,New,C- 105 Five or More Family Bldgs,2026-06-08,Harvey Cleary Builders,Hunter McBroom,(832) 986-1613,AUSTIN,"Boom Lifts, Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13623490
95,"$20M+ value, 50K+ sqft, 6 floors, New",2025-154151 BP,6915 BRIDGE POINT PKWY BLDG 8,78730,ePlan: Expedited Review - New Construction of a Multi-Story Mixed Use Multi-Family Bldg. with Parking Garage - Lake View East - Module V.,830000000.0,99090.0,6,New,C- 105 Five or More Family Bldgs,2026-06-08,Harvey Cleary Builders,Hunter McBroom,(832) 986-1613,AUSTIN,"Boom Lifts, Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13623495
95,"$20M+ value, 50K+ sqft, 57 floors, Shell",2026-049438 BP,62 EAST AVE,78701,ePlan: Expedited Review - New Shell Building of a 57-Story Mixed Use Multi-Family Bldg. with Parking Garage. Contains Lobby Offices Amenities Mail Breakroom Restrooms Dog Park Fitness and Co-Working (876109 SF).,154000000.0,364250.0,57,Shell,C- 105 Five or More Family Bldgs,2026-05-08,Summit Design Build,Adam Miller,(312) 229-4632,Chicago,"Boom Lifts, Tower Cranes, Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13690966
95,"$20M+ value, 50K+ sqft, 57 floors, New",2026-049440 BP,62 EAST AVE UNIT GAR1,78701,ePlan: Expedited Review - New Construction of Parking Garage.,154000000.0,148884.0,57,New,C- 321 Pkg Garage Bldg & Open Deck,2026-05-08,Summit Design Build,Adam Miller,(312) 229-4632,Chicago,"Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13690971
95,"$20M+ value, 50K+ sqft, 4 floors, New",2025-141341 BP,1420 E HOWARD LN BLDG 3,78660,CONSTRUCT NEW MULTIFAMILY COMPLEX     BLDG 3 TYPE C,39719000.0,81656.0,4,New,C- 105 Five or More Family Bldgs,2026-05-08,Journeyman Construction,Cannon Kilde,(512) 247-7000,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609128
95,"$20M+ value, 50K+ sqft, 4 floors, New",2025-141339 BP,1420 E HOWARD LN BLDG 1,78660,CONSTRUCT NEW MULTIFAMILY COMPLEX     BLDG 1 TYPE A,39719000.0,86128.0,4,New,C- 105 Five or More Family Bldgs,2026-05-08,Journeyman Construction,Cannon Kilde,(512) 247-7000,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609126
95,"$20M+ value, 50K+ sqft, 4 floors, New",2025-141340 BP,1420 E HOWARD LN BLDG 2,78660,CONSTRUCT NEW MULTIFAMILY COMPLEX     BLDG 2 TYPE B,39719000.0,72848.0,4,New,C- 105 Five or More Family Bldgs,2026-05-08,Journeyman Construction,Cannon Kilde,(512) 247-7000,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609127
95,"$20M+ value, 50K+ sqft, 7 floors, New",2026-048465 BP,1326 LAMAR SQUARE DR,78704,ePlan: Commercial Expedited Review - [SMART HOUSING] New Construction of Multi Family Building for Supportive Housing. (110375 SF).,32500000.0,110375.0,7,New,C- 105 Five or More Family Bldgs,2026-05-13,"Bailey Elliott Construction, Inc. D/B/A BEC Austin",Joshua Hardesty,(512) 327-3951,Austin,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13689848
95,"$20M+ value, 50K+ sqft, 16 floors, Shell",2023-004816 BP,1320 ART DILLY DR BLDG 1,78702,ePlan: Expedited Review - [SMART HOUSING] Level 3 Alteration to existing 16-Story High-Rise Structure to create a Congregate Living Shell Bldg. with Core Improvements. (165522 SF),30000000.0,165522.0,16,Shell,C- 105 Five or More Family Bldgs,2026-05-26,Bartlett Cocke General Contractors (MAIN),Donna Kirkpatrick,(512) 326-4223,Austin,"Boom Lifts, Tower Cranes, Cranes",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13078510
90,"$20M+ value, 10K+ sqft, 6 floors, New",2025-154184 BP,6915 BRIDGE POINT PKWY BLDG 15 UNIT GAR,78730,ePlan: Expedited Review - New Construction of Parking Garage - Module M and N.,830000000.0,18467.0,6,New,C- 321 Pkg Garage Bldg & Open Deck,2026-06-08,Harvey Cleary Builders,Hunter McBroom,(832) 986-1613,AUSTIN,"Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13623528
90,"$20M+ value, 50K+ sqft, 3 floors, New",2025-154188 BP,6915 BRIDGE POINT PKWY BLDG 1,78730,ePlan: Expedited Review - New Construction of Upper Clubhouse with Garage.,830000000.0,142326.0,3,New,C- 328 Commercial Other Nonresident Bldg,2026-06-08,Harvey Cleary Builders,Hunter McBroom,(832) 986-1613,AUSTIN,"Tower Cranes, Concrete Equipment",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13623532
90,"$20M+ value, 10K+ sqft, 5 floors, New",2025-154179 BP,6915 BRIDGE POINT PKWY BLDG 10 UNIT GAR,78730,ePlan: Expedited Review - New Construction of Parking Garage - Module G and H.,830000000.0,18685.0,5,New,C- 321 Pkg Garage Bldg & Open Deck,2026-06-08,Harvey Cleary Builders,Hunter McBroom,(832) 986-1613,AUSTIN,"Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13623523
90,"$20M+ value, 10K+ sqft, 5 floors, New",2025-154174 BP,6915 BRIDGE POINT PKWY BLDG 6 UNIT GAR,78730,ePlan: Expedited Review - New Construction of Parking Garage - Module E.,830000000.0,11293.0,5,New,C- 321 Pkg Garage Bldg & Open Deck,2026-06-08,Harvey Cleary Builders,Hunter McBroom,(832) 986-1613,AUSTIN,"Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13623518
