score,signals,permit_number,address,zip,description,valuation,sqft,floors,work_class,permit_class,issue_date,contractor_company,contractor_name,contractor_phone,contractor_city,equipment,permit_link
95,"$20M+ value, 50K+ sqft, 6 floors, New",2025-154151 BP,6915 BRIDGE POINT PKWY BLDG 8,78730,ePlan: Expedited Review - New Construction of a Multi-Story Mixed Use Multi-Family Bldg. with Parking Garage - Lake View East - Module V.,830000000.0,99090.0,6,New,C- 105 Five or More Family Bldgs,2026-06-08,Harvey Cleary Builders,Hunter McBroom,(832) 986-1613,AUSTIN,"Boom Lifts, Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13623495
95,"$20M+ value, 50K+ sqft, 6 floors, New",2025-154152 BP,6915 BRIDGE POINT PKWY BLDG 9,78730,ePlan: Expedited Review - New Construction of a Multi-Story Mixed Use Multi-Family Bldg. with Parking Garage - Lake View East - Module W.,830000000.0,99090.0,6,New,C- 105 Five or More Family Bldgs,2026-06-08,Harvey Cleary Builders,Hunter McBroom,(832) 986-1613,AUSTIN,"Boom Lifts, Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13623496
95,"$20M+ value, 50K+ sqft, 13 floors, New",2025-154146 BP,6915 BRIDGE POINT PKWY BLDG 3,78730,ePlan: Expedited Review - New Construction of a Multi-Story Mixed Use Multi-Family Bldg. with Parking Garage - Lake View East - Module B,830000000.0,57022.0,13,New,C- 105 Five or More Family Bldgs,2026-06-08,Harvey Cleary Builders,Hunter McBroom,(832) 986-1613,AUSTIN,"Boom Lifts, Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13623490
95,"$20M+ value, 50K+ sqft, 6 floors, New",2026-006051 BP,512 SABINE ST,78701,ePlan: Commercial Expedited Review - [AE GREEN BUILDING] New Construction of a Mixed Use 7-Story Multi-Family Complex. Phase III - Floors 2-6.,79500000.0,129307.0,6,New,C- 105 Five or More Family Bldgs,2026-07-01,Ryan Companies US INC,Kristin Thompson,(512) 493-5927,Austin,Boom Lifts,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13641646
95,"$20M+ value, 50K+ sqft, 6 floors, New",2026-006050 BP,512 SABINE ST,78701,ePlan: Commercial Expedited Review - [AE GREEN BUILDING] New Construction of a Mixed Use 7-Story Multi-Family Complex. Phase II - Floors 2-5.,79500000.0,90467.0,6,New,C- 105 Five or More Family Bldgs,2026-07-01,Ryan Companies US INC,Kristin Thompson,(512) 493-5927,Austin,Boom Lifts,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13641645
95,"$20M+ value, 50K+ sqft, 6 floors, New",2026-006052 BP,512 SABINE ST BLDG GAR,78701,ePlan: Commercial Expedited Review - [AE GREEN BUILDING] New Construction of Parking Garage for Mixed Use 7-Story Multi-Family Complex.,79500000.0,94777.0,6,New,C- 321 Pkg Garage Bldg & Open Deck,2026-07-01,Ryan Companies US INC,Kristin Thompson,(512) 493-5927,Austin,"Boom Lifts, Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13641647
95,"$20M+ value, 50K+ sqft, 6 floors, Shell",2020-025520 BP,1900 ALDRICH ST,78723,EPLAN-New Construction of Office/Retail Shell Building *NOT FOR OCCUPANCY*,36000000.0,238172.0,6,Shell,"C- 324 Office, Bank & Professional Bldgs",2026-06-18,Cadence McShane Construction Company,Alexis Stecker,(512) 328-1411,AUSTIN,Cranes,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12416559
95,"$20M+ value, 50K+ sqft, 16 floors, Shell",2023-004816 BP,1320 ART DILLY DR BLDG 1,78702,ePlan: Expedited Review - [SMART HOUSING] Level 3 Alteration to existing 16-Story High-Rise Structure to create a Congregate Living Shell Bldg. with Core Improvements. (165522 SF),30000000.0,165522.0,16,Shell,C- 105 Five or More Family Bldgs,2026-05-26,Bartlett Cocke General Contractors (MAIN),Donna Kirkpatrick,(512) 326-4223,Austin,"Boom Lifts, Tower Cranes, Cranes",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13078510
90,"$20M+ value, 50K+ sqft, 3 floors, New",2025-154188 BP,6915 BRIDGE POINT PKWY BLDG 1,78730,ePlan: Expedited Review - New Construction of Upper Clubhouse with Garage.,830000000.0,142326.0,3,New,C- 328 Commercial Other Nonresident Bldg,2026-06-08,Harvey Cleary Builders,Hunter McBroom,(832) 986-1613,AUSTIN,"Tower Cranes, Concrete Equipment",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13623532
90,"$20M+ value, 10K+ sqft, 6 floors, New",2025-154177 BP,6915 BRIDGE POINT PKWY BLDG 9 UNIT GAR,78730,ePlan: Expedited Review - New Construction of Parking Garage - Module W.,830000000.0,25246.0,6,New,C- 321 Pkg Garage Bldg & Open Deck,2026-06-08,Harvey Cleary Builders,Hunter McBroom,(832) 986-1613,AUSTIN,"Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13623521
90,"$20M+ value, 10K+ sqft, 13 floors, New",2025-154149 BP,6915 BRIDGE POINT PKWY BLDG 6,78730,ePlan: Expedited Review - New Construction of a Multi-Story Mixed Use Multi-Family Bldg. with Parking Garage - Lake View East - Module E.,830000000.0,47440.0,13,New,C- 105 Five or More Family Bldgs,2026-06-08,Harvey Cleary Builders,Hunter McBroom,(832) 986-1613,AUSTIN,"Boom Lifts, Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13623493
90,"$20M+ value, 10K+ sqft, 5 floors, New",2025-154173 BP,6915 BRIDGE POINT PKWY BLDG 5 UNIT GAR,78730,ePlan: Expedited Review - New Construction of Parking Garage - Module D.,830000000.0,11293.0,5,New,C- 321 Pkg Garage Bldg & Open Deck,2026-06-08,Harvey Cleary Builders,Hunter McBroom,(832) 986-1613,AUSTIN,"Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13623517
90,"$20M+ value, 10K+ sqft, 13 floors, New",2025-154148 BP,6915 BRIDGE POINT PKWY BLDG 5,78730,ePlan: Expedited Review - New Construction of a Multi-Story Mixed Use Multi-Family Bldg. with Parking Garage - Lake View East - Module D.,830000000.0,45693.0,13,New,C- 105 Five or More Family Bldgs,2026-06-08,Harvey Cleary Builders,Hunter McBroom,(832) 986-1613,AUSTIN,"Boom Lifts, Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13623492
90,"$20M+ value, 10K+ sqft, 5 floors, New",2025-154175 BP,6915 BRIDGE POINT PKWY BLDG 7 UNIT GAR,78730,ePlan: Expedited Review - New Construction of Parking Garage - Module F.,830000000.0,11932.0,5,New,C- 321 Pkg Garage Bldg & Open Deck,2026-06-08,Harvey Cleary Builders,Hunter McBroom,(832) 986-1613,AUSTIN,"Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13623519
90,"$20M+ value, 10K+ sqft, 13 floors, New",2025-154147 BP,6915 BRIDGE POINT PKWY BLDG 4,78730,ePlan: Expedited Review - New Construction of a Multi-Story Mixed Use Multi-Family Bldg. with Parking Garage - Lake View East - Module C,830000000.0,45354.0,13,New,C- 105 Five or More Family Bldgs,2026-06-08,Harvey Cleary Builders,Hunter McBroom,(832) 986-1613,AUSTIN,"Boom Lifts, Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13623491
