score,signals,permit_number,address,zip,description,valuation,sqft,floors,work_class,permit_class,issue_date,contractor_company,contractor_name,contractor_phone,contractor_city,equipment,permit_link
95,"$20M+ value, 50K+ sqft, 4 floors, New",2026-094822 BP,3935 BRIGHT LIGHT BLVD,78610,ePlan: Commercial Expedited Review - [APPROVED] Phase 1a- Main Building for Educational Site (215685 SF).,380000000.0,215685.0,4,New,C- 326 Schools & Other Educational Bldgs,2026-07-23,Bartlett Cocke General Contractors (MAIN),Donna Kirkpatrick,(512) 326-4223,Austin,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13742458
95,"$20M+ value, 50K+ sqft, 4 floors, New",2026-094821 BP,3935 BRIGHT LIGHT BLVD,78610,ePlan: Commercial Expedited Review - [APPROVED] Phase 1- Main Building to Include Riser Room (137 678 SF).,380000000.0,137678.0,4,New,C- 326 Schools & Other Educational Bldgs,2026-07-23,Bartlett Cocke General Contractors (MAIN),Donna Kirkpatrick,(512) 326-4223,Austin,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13742457
95,"$20M+ value, 50K+ sqft, 6 floors, New",2026-006050 BP,512 SABINE ST,78701,ePlan: Commercial Expedited Review - [AE GREEN BUILDING] New Construction of a Mixed Use 7-Story Multi-Family Complex. Phase II - Floors 2-5.,79500000.0,90467.0,6,New,C- 105 Five or More Family Bldgs,2026-07-01,Ryan Companies US INC,Kristin Thompson,(512) 493-5927,Austin,Boom Lifts,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13641645
95,"$20M+ value, 50K+ sqft, 6 floors, New",2026-006052 BP,512 SABINE ST BLDG GAR,78701,ePlan: Commercial Expedited Review - [AE GREEN BUILDING] New Construction of Parking Garage for Mixed Use 7-Story Multi-Family Complex.,79500000.0,94777.0,6,New,C- 321 Pkg Garage Bldg & Open Deck,2026-07-01,Ryan Companies US INC,Kristin Thompson,(512) 493-5927,Austin,"Boom Lifts, Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13641647
95,"$20M+ value, 50K+ sqft, 6 floors, New",2026-006051 BP,512 SABINE ST,78701,ePlan: Commercial Expedited Review - [AE GREEN BUILDING] New Construction of a Mixed Use 7-Story Multi-Family Complex. Phase III - Floors 2-6.,79500000.0,129307.0,6,New,C- 105 Five or More Family Bldgs,2026-07-01,Ryan Companies US INC,Kristin Thompson,(512) 493-5927,Austin,Boom Lifts,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13641646
90,"$20M+ value, 10K+ sqft, 6 floors, Shell",2026-006053 BP,512 SABINE ST,78701,ePlan: Commercial Expedited Review - [AE GREEN BUILDING] New Construction of Shell Space for Retail Phase I - First Floor. Work to include Patio Space - Not for Occupancy.,79500000.0,10986.0,6,Shell,C- 327 Stores & Customer Services,2026-07-01,Ryan Companies US INC,Kristin Thompson,(512) 493-5927,Austin,Cranes,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13641648
90,"$20M+ value, 10K+ sqft, 6 floors, New",2026-006049 BP,512 SABINE ST,78701,ePlan: Commercial Expedited Review - [AE GREEN BUILDING] New Construction of a Mixed Use 7-Story Multi-Family Complex. Phase I - 11 Residential Units within Multi-Family Complex.,79500000.0,14340.0,6,New,C- 105 Five or More Family Bldgs,2026-07-01,Ryan Companies US INC,Kristin Thompson,(512) 493-5927,Austin,Boom Lifts,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13641644
90,"$20M+ value, 50K+ sqft, 3 floors, New",2026-016600 BP,1412 NORSEMAN TER,78758,ePlan: Commercial Expedited Review - New Construction of an Elementary School on Existing Site. Building to include 1 story and 3 story Portions. (94951 SF),51150000.0,94951.0,3,New,C- 326 Schools & Other Educational Bldgs,2026-08-19,Joeris General Contractors***MAIN***,Burton Hackney,(512) 920-0338,Austin,Boom Lifts,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13653673
90,"$20M+ value, 10K+ sqft, 4 floors, New",2026-099071 BP,6420 HELEN MILLER VW,78724,ePlan: Commercial Expedited Review - [AE GREEN BUILDING] New Construction of Medical Office Building with New Parking Garage (75766 SF).,28000000.0,32130.0,4,New,"C- 324 Office, Bank & Professional Bldgs",2026-08-04,HOAR Construction LLC,Stephen Phelps,(512) 202-2634,AUSTIN,"Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13747472
90,"$20M+ value, 50K+ sqft, 2 floors, New",2026-068706 BP,6801 NORTHEAST DR BLDG A,78723,ePlan: Commercial Expedited Review - [PUBLIC PROJECT] New Construction of Elementary School. Building A consists of Admin Core Classrooms Library Community Art and Music Scopes. (87818 SF),25000000.0,72923.0,2,New,C- 326 Schools & Other Educational Bldgs,2026-06-26,Rogers-O'Brien Construction,Lilly Kelly,(214) 608-8512,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13712872
85,"$20M+ value, 50K+ sqft, New",2026-094823 BP,3935 BRIGHT LIGHT BLVD,78610,ePlan: Commercial Expedited Review - [APPROVED] Phase 1B- Scope of Work to Include all academic structures for the Hays CISD New High School #4 development apart from the main building and some of the stadium seating. This Phase Included the Middle 3 Sections of the Home Side Bottom Row of the Proposed Stadium Seating. (273698 SF).,380000000.0,273698.0,1,New,C- 326 Schools & Other Educational Bldgs,2026-07-23,Bartlett Cocke General Contractors (MAIN),Donna Kirkpatrick,(512) 326-4223,Austin,Boom Lifts,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13742459
85,"$20M+ value, 6 floors, New",2026-006054 BP,512 SABINE ST,78701,ePlan: Commercial Expedited Review - [AE GREEN BUILDING] New Construction of Leasing and Amenities Phase I First Floor. Work to include CoWork Space Fitness and Mail Room.,79500000.0,8435.0,6,New,C- 328 Commercial Other Nonresident Bldg,2026-07-01,Ryan Companies US INC,Kristin Thompson,(512) 493-5927,Austin,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13641649
85,"$20M+ value, 6 floors, New",2026-006057 BP,512 SABINE ST BLDG GAZEBO1,78701,ePlan: Commercial Expedited Review - [AE GREEN BUILDING] New Construction of Shade Structure (Courtyard Cabana Trellis) Phase III.,79500000.0,598.0,6,New,C- 329 Com Structures Other Than Bldg,2026-07-01,Ryan Companies US INC,Kristin Thompson,(512) 493-5927,Austin,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13641652
85,"$20M+ value, 6 floors, New",2026-006056 BP,512 SABINE ST,78701,ePlan: Commercial Expedited Review - [AE GREEN BUILDING] New Construction of Court Yard Amenity Space Phase III First Floor.,79500000.0,1156.0,6,New,C- 329 Com Structures Other Than Bldg,2026-07-01,Ryan Companies US INC,Kristin Thompson,(512) 493-5927,Austin,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13641651
85,"$20M+ value, 6 floors, New",2026-006055 BP,512 SABINE ST,78701,ePlan: Commercial Expedited Review - [AE GREEN BUILDING] New Construction of Amenity Space (Roof Deck) Phase III 6thFloor.,79500000.0,1957.0,6,New,C- 328 Commercial Other Nonresident Bldg,2026-07-01,Ryan Companies US INC,Kristin Thompson,(512) 493-5927,Austin,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13641650
